Resume_str,Category,field,score,grade
"HR ADMINISTRATOR/MARKETING ASSOCIATE

HR ADMINISTRATOR       Summary     Dedicated Customer Service Manager with 15+ years of experience in Hospitality and Customer Service Management.   Respected builder and leader of customer-focused teams; strives to instill a shared, enthusiastic commitment to customer service.         Highlights         Focused on customer satisfaction  Team management  Marketing savvy  Conflict resolution techniques     Training and development  Skilled multi-tasker  Clien",HR,business,37.0,1
"HR SPECIALIST, US HR OPERATIONS       Summary     Versatile  media professional with background in Communications, Marketing, Human Resources and Technology.         Experience     09/2015   to   Current     HR Specialist, US HR Operations    Company Name   －   City  ,   State       Managed communication regarding launch of Operations group, policy changes and system outages      Designed standard work and job aids to create comprehensive training program for new employees and contractors       ",HR,business,43.0,1
"HR DIRECTOR       Summary      Over 20 years experience in recruiting,   15 plus years in Human Resources Executive Management,   5 years of HRIS development and maintenance  4 years working in a Healthcare Enviroment        Skills          Recruiting  FMLA/EEO/FLSA   HRIS Development      Benefit Administration  Policy Development  Web Page Development             Accomplishments      Kansas Health Institute -Health Outcomes for the State of Kansas -1999 
Memberships and Accolades: Project Mana",HR,business,24.0,0
"HR SPECIALIST       Summary    Dedicated, Driven, and Dynamic with over 20 years of customer service expertise. Motivated to maintain customer satisfaction and contribute to company success with an emphasis in personnel and process management. Solid team player with proven ability to establish rapport with clients.       Skills          Type 50 wpm and 10-Key by touch  Microsoft programs Word, Excel, Access, Outlook, PowerPoint  Personnel management  and Telephone inquiries specialist      Excel",HR,business,31.0,1
HR MANAGER         Skill Highlights           HR SKILLS  HR Department Startup  Three New Organization Startups  Employment Law  FMLA/ADA/EEO/WC  Mediation & Advocacy  HR Policies & Procedures	*Staff Recruitment & Retention  Salary Negotiations  Employee Relations  Benefits Administration  Unemployment Administration  Worker's Compensation Administration  Orientation & On-Boarding  HRIS Technologies  Training & Development  Performance Management  Organizational Development  HR Program/Project M,HR,business,31.0,1
"HR GENERALIST       Summary     Dedicated and focused Administrative Assistant who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. Seeking a role of increased responsibility and authority.       Highlights         Microsoft Office proficiency  Excel spreadsheets  Meticulous attention to detail  Results-oriented  Self-directed      Time management  Professional and mature  Self-starter  Legal administrative support            Experi",HR,business,51.0,2
"HR MANAGER       Summary    HUMAN RESOURCES MANAGER Extensive background in administrative duties, including experience in implementing staff development and training, mediation, conflict resolution, benefits and compensation training, HR records management, HR policies development and legal compliance.
*Demonstrated success in, developing teambuilding programs, and writing personnel manuals, coordinating special programs, job descriptions and online State Mandated Training.      Highlights     ",HR,business,26.0,0
"HR MANAGER         Professional Summary    Senior HR professional with a continuous improvement approach to building and supporting organizations.  Driven HR Manager bringing an innovative approach to human resource management while creating a team-driven environment that fosters room for development and growth. Dedicated HR professional with strong grasp of employment laws, compliance issues and benefits plans. Successfully introduces process improvements and staff-development initiatives to dr",HR,business,36.0,1
"HR SPECIALIST       Summary    Possess 15+ years of experience as an HR Classification/Compensation Lead and as an HR Specialist, Recruitment. Managed recruitment efforts that included qualifying candidates based on documented knowledge, skills, and abilities to match organizational resource needs. Ensured candidate fulfillment of the preemployment process; i.e., background checks, drug screens, and reference checks. Developed and implemented competency and skill-based pay programs for a variety",HR,business,49.0,1
"HR CLERK       Summary    Translates business vision into HR initiatives that improve performance, profitability, growth, and employee engagement. Developing, improving and managing HR strategies in benefits and compensation, employee recruitment and development, ethics and corporate social responsibility, diversity, safety and security, and business strategy.  Worked with continuous improvement programs in connection to development of Lean and Six Sigma strategy programs.       Highlights      ",HR,business,34.0,1
"HR ASSISTANT       Summary    Highly motivated, and a dynamic Human Resources professional with diverse credentials seeking a position with a growing organization to make a positive impact on company policies, and experience career growth. Accomplished human resources and administrative professional with over 3 years' experience. Attentive to detail, able to take initiative, prioritize multiple tasks and manage workload. Resourceful team player with a can-do attitude. Results-driven with strong ",HR,business,24.0,0
"HR MANAGER         Summary      Human Resources Manager with practical understanding of business needs. Areas of expertise include conflict management and employee training.  Human Resources Generalist who promotes a team-oriented and open-door environment that is conducive to a successful staff. Offering  [Number]  years of experience and knowledge in training, orientation and incentive program creation.   [level of management] -level ma Human Resource executive who works with other executives ",HR,business,37.0,1
"HR MANAGER         Summary    To obtain a position that offers many opportunities for growth and development that will enhance my existing knowledge in Management and Leadership. In return, I will give my very best to the company so it can achieve its goals and aspirations to continue future success.      Highlights          Leadership skills  Providing focus and direction to subordinates  Motivating employees to do better  Accuracy and attention to detail  Ability to work as part of a team  Pos",HR,business,26.0,0
"HR GENERALIST       Summary     A people-oriented, results-driven professional with outstanding communication skills.   Extensive experience delivering top-quality solutions for high-profile clients. Seeking to   obtain a position which would allow me to apply my current knowledge, obtain new information and grow with a company.       Highlights        Word, Excel, PowerPoint, Darwin, Act, Attendance Advisor, ERP/AS400, HRIS, ADP Payroll, Paycor, Internet Explorer, Outlook, Kronos, IFAS, PeopleS",HR,business,46.0,1
"HR COORDINATOR         Summary    Applicant Screening, Background Checks, Benefits Administration, Compliance, Compensation, Drug Testing, EEO Inquiries, Employee Relations, Event Planning, Full-Cycle Recruitment, Interviewing, Investigations, New Hire Orientation, Performance Evaluations, Reference Checks, Policy & Procedure Administration, Training and Development, Worker's Compensation, Unemployment Claims.        Accomplishments      Chair, Employee Diversity Council, Kindred Healthcare (200",HR,business,50.0,2
"HR CLERK       Summary     I am an ethical, team oriented and policy driven individual with experience in AP/AR, Human Resource Administration, Auditing, Documentation experience, Property Management (96 Units) and a vast number of computer skills.           Highlights         Accounts receivable professional  Expert in customer relations  Proficient in SAP  Strong communication skills  ERP (Enterprise Resource Planning) software      Strong organizational skills  Large cash/check deposits exper",HR,business,41.0,1
"HR ANALYST         Summary     Experienced professional with background in Human Resources, Administrative, and Customer Service environments. Proficient in MS Excel, Word, Power Point, Share Point, Taleo, Autonomy, One Note, SAP, Visio, OrgPlus, and Outlook. Able to effectively manage project tasks and implement processes to support immediate and long-term objectives.        Accomplishments     Lead HR team through successful clean-up, categorization, and electronic conversion of over 3,500 emp",HR,business,37.0,1
"HR DIRECTOR           Summary    Human Resource Professional
Confident, Resourceful Human Resources professional, with academic background in human  resources management and hands-on experience hiring, training, orientating, and developing employees that currently serve in a one person role managing 63 employees for a fast growing organization.      Highlights          Analytical Skills		Good Interpersonal Skills		Organizational Skills		Communication Skills  Recruiting and Staffing	Performance M",HR,business,29.0,0
"HR GENERALIST/RECRUITER           Summary     Human Resource Generalist who is an great communicator and negotiator with strong conflict resolution skills. Extensive background in recruitment and retention, mediation and records management.       Highlights         ADP, People fluent, Microsoft Offices, Interviewing expertise  Performance management strategies  Benefits administrator  Employee relations  Benefits administrator  Manager coaching and training  HRIS applications proficient  Payroll",HR,business,33.0,1
"HR CONSULTING       Summary    7+ years of Experience as a HR Partner with experience in all the facets of the Human Resource Function. Extensive background in HR generalist affairs, including experience in Recruiting, On boarding, Performance Management, employee retention, staff development, mediation, conflict resolution, Benefits and compensation, HR records management, HR policies, Jobs and Competencies. Demonstrated success in negotiating win-win compromises, developing teambuilding progra",HR,business,33.0,1
"HR GENERALIST           Summary    Young, dedicated and focused office administrative assistant who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. Seeking a role of increased responsibility and authority. SKILL HIGHLIGHTS Microsoft Office proficiency	Self-directed Excel spreadsheets	Professional and mature Meticulous attention to detail	Strong interpersonal skills Results-oriented	Keen understanding of grammar Strong problem solve",HR,business,41.0,1
